ca595515-abf8-415a-b0d4-00c4122a4fa8;Borgo Liberta';71040;FG;Foggia;Puglia;Italia;41.186497;15.7125301;True
ade3cb10-1e79-4c1c-9c32-00c7ba53e28f;San Romualdo;48100;RA;Ravenna;Emilia-Romagna;Italia;44.496539;12.1691544;True
a3650238-cb9e-4b91-996e-00c8bd1bba47;Prepo;06129;PG;Perugia;Umbria;Italia;NULL;NULL;True
4b419e9e-6f40-4f4a-9349-00ca3e9cc016;Grignano Polesine;45030;RO;Rovigo;Veneto;Italia;45.0436036;11.7494932;True
9de75f29-dba7-4641-828a-00d997d50b90;Castell'Umberto;98070;ME;Messina;Sicilia;Italia;38.0843696;14.8071222;True
09c10244-b6e0-48a8-9fdf-00dae795f7f9;Pieve Salutare;47011;FC;Forli-Cesena;Emilia-Romagna;Italia;44.1501493;11.9265693;True
a37f15a6-ae1b-4506-8726-00dbedee6536;Castel Madama;00024;RM;Roma;Lazio;Italia;41.9769358;12.8691904;True
300c4b24-60bb-4932-aae9-00e15b1ec476;San Cristoforo;15060;AL;Alessandria;Piemonte;Italia;44.692248;8.750152;True
d5fb37e3-e3d5-4ce0-852b-00e628949a75;Gissi;66052;CH;Chieti;Abruzzo;Italia;42.0212271;14.5457485;True
e50fe46c-fb5b-4993-8e5d-00e7ff05d8af;Mazzarra' Sant'Andrea;98056;ME;Messina;Sicilia;Italia;38.088463;15.133583;True
09176c53-74d0-4cce-9e24-00f45c5d12ad;Giuliano Di Lecce;73040;LE;Lecce;Puglia;Italia;39.848991;18.3368741;True
0076fcd1-16e6-4713-a2f4-00f7c3a11ca7;Gonnostramatza;09093;OR;Oristano;Sardegna;Italia;39.6811693;8.8338449;True
f241f07f-2973-4a5f-b63f-00fe121249f3;Pistolesa;13822;BI;Biella;Piemonte;Italia;NULL;NULL;True
0348d539-eeb5-4554-9457-00ffbf3afdea;Navelli;67020;AQ;L'Aquila;Abruzzo;Italia;42.2378643;13.729027;True
1a4c5a88-2f52-42ef-b47b-0100faa7a21b;Champorcher;11020;AO;Aosta;Valle d'Aosta;Italia;45.6238736;7.6210174;True
09fd84ce-67fb-442b-8d62-010373e53416;Galleno;50050;FI;Firenze;Toscana;Italia;43.7749323;10.7180893;True
9c3f00a1-e096-4a36-9193-011c8997f6b1;Illasi;37031;VR;Verona;Veneto;Italia;45.4659334;11.1800214;True
cfb4775f-bfe5-4751-846b-0125831a7aa9;Accadia;71021;FG;Foggia;Puglia;Italia;41.158824;15.33145;True
bbf92353-2f3a-417c-83a2-0126aa771cab;Ravalle;44040;FE;Ferrara;Emilia-Romagna;Italia;44.9280691;11.5105052;True
3c565ee2-3a33-46b0-bf05-013582d5d22c;Ghivizzano;55053;LU;Lucca;Toscana;Italia;44.0320701;10.5149376;True
b0e1c8cd-2a76-49b1-8b86-0138a3d0bca7;Sant'Angelo Di Senigallia;60010;AN;Ancona;Marche;Italia;NULL;NULL;True
5f29a9fc-2d67-4625-83c0-013a64c7836d;Consandolo;44013;FE;Ferrara;Emilia-Romagna;Italia;44.6541748;11.7760997;True
c541dd3a-31cb-4bc5-97ac-013ea16d60c7;Appiano Gentile;22070;CO;Como;Lombardia;Italia;45.7346371;8.979101;True
61f0a259-2d45-4ace-a74c-013fab68d868;Tremosine;25010;BS;Brescia;Lombardia;Italia;45.7710786;10.7607733;True
211464d9-d722-432e-8dd5-0140b2b0bb71;Prestine;25040;BS;Brescia;Lombardia;Italia;45.9308588;10.3103078;True
5d8348e2-3d7b-4b61-b6a2-0140ececafb5;Tresche' Conca;36010;VI;Vicenza;Veneto;Italia;45.8376435;11.4322647;True
a0456e95-3565-4055-b6a9-014a78e23f23;Caldogno;36030;VI;Vicenza;Veneto;Italia;45.6118362;11.5075805;True
4eb86ead-f638-48ac-9242-014cfe4f56d1;Ronco All'Adige;37055;VR;Verona;Veneto;Italia;45.3377659;11.2424521;True
08f8100e-a4b2-4b6a-b194-0151d22b6611;Calestano;43030;PR;Parma;Emilia-Romagna;Italia;44.6007;10.1229945;True
83893ab0-42b5-457f-a35a-0151fe39a9ce;Vezzo;28839;VB;Verbano-Cussio-Ossola;Piemonte;Italia;45.8666079;8.5304722;True
0d384acd-f3dd-47e0-9829-0152b679b2df;Carassai;63030;AP;Ascoli Piceno;Marche;Italia;43.032052;13.684987;True
f4598c27-95cf-40d7-9651-0152cbaa0a9e;Mede;27035;PV;Pavia;Lombardia;Italia;45.0974469;8.736176;True
8b2b6529-7066-4e9c-aa29-0158db487aef;Lamon;32033;BL;Belluno;Veneto;Italia;46.0471507;11.7486325;True
e3e311b4-6aa4-4b22-9298-0165d3f63f20;Villagrande;66020;CH;Chieti;Abruzzo;Italia;NULL;NULL;True
eb2acfad-5f24-4322-a7c3-016813e048b3;Torre D'Isola;27020;PV;Pavia;Lombardia;Italia;45.2183509;9.0764193;True
